FUND,ISIN
EuroBonds,04519U7BI104
BigEquityReturns,04519U7BI104
YetAnotherFund,R6QKVW17MXRX
YetAnotherFund,3619X8E5ITMO
NiceGrowth,3619X8E5ITMO
BigEquityReturns,421GL2B48U2N
NiceGrowth,38G8O72MM44I
NiceGrowth,1F875J14186S
EuroBonds,1F875J14186S
EuroSwaps,06R5Y20X06R3
BigEquityReturns,I4366136UT5P
EuroSwaps,I4366136UT5P
EuroBonds,LVS68587BR82
EuroBonds,M5J24DGO6993
BigEquityReturns,778219D4U757
YetAnotherFund,898383M0IVHS
AnotherFund,38JE46317M70
EuroBonds,WQ6300D0Q1B9
AnotherFund,BG2813S61XAI
QuickCashStrategy,VJ8KWMJ3HN2X
BigEquityReturns,2DVY519QV9UP
AnotherFund,V0S6967388RS
NiceGrowth,6QR7V1K726AW
EuroSwaps,6QR7V1K726AW
BigEquityReturns,584604S13283
EuroBonds,584604S13283
BigEquityReturns,9BV02TG3OO75
EuroSwaps,1XVQLE790616
AnotherFund,1XVQLE790616
EuroBonds,W39210P7667N
NiceGrowth,W39210P7667N
AnotherFund,PTQE3R32T6LC
NiceGrowth,A6XO7EA2O495
BigEquityReturns,A6XO7EA2O495
EuroSwaps,97CV19WHJYB1
EuroBonds,QTPWVY2GG429
EuroSwaps,QTPWVY2GG429
BigEquityReturns,7075G0EYR312
NiceGrowth,7075G0EYR312
YetAnotherFund,4451490677K4
EuroBonds,55FVF9EHMURJ
BigEquityReturns,55FVF9EHMURJ
YetAnotherFund,56S6RT11E91U
EuroSwaps,56S6RT11E91U
EuroSwaps,090W16C61I84
AnotherFund,29VTX1W72PM2
QuickCashStrategy,P577049C72F3
EuroSwaps,08X44GR2145F
AnotherFund,5C0X60Q1145R
EuroSwaps,5C0X60Q1145R
QuickCashStrategy,P6952896615W
AnotherFund,AB8539PT22TV
EuroBonds,AB8539PT22TV
EuroBonds,U576GTNXA5YI
YetAnotherFund,4ZVJY872K62G
EuroSwaps,4ZVJY872K62G
NiceGrowth,80B435TPX061
EuroBonds,76I5CA0Z17DY
AnotherFund,76I5CA0Z17DY
EuroBonds,TK98XJ84R989
BigEquityReturns,TK98XJ84R989
NiceGrowth,J4B5R3B3DLZ0
NiceGrowth,7Y75193JI7QU
BigEquityReturns,7Y75193JI7QU
YetAnotherFund,01M5A133H725
EuroSwaps,01M5A133H725
EuroSwaps,RE7KBU08M9J0
EuroSwaps,3Q80C4P86717
NiceGrowth,12L76J741I08
AnotherFund,12L76J741I08
NiceGrowth,4J795VN5D636
BigEquityReturns,4J795VN5D636
EuroSwaps,UT34RL9F8119
AnotherFund,I647A7W9Y201
EuroBonds,I647A7W9Y201
NiceGrowth,2ZC454590F70
BigEquityReturns,R4X7P3743SXO
NiceGrowth,3731798V7492
AnotherFund,3731798V7492
QuickCashStrategy,UV234AE278X0
AnotherFund,UV234AE278X0
AnotherFund,1671L846P70F
EuroSwaps,1671L846P70F
NiceGrowth,1RK7770W68Y3
AnotherFund,H9G1454BD6E8
YetAnotherFund,4EY6H0O2IC45
BigEquityReturns,A5807381I36V
NiceGrowth,A5807381I36V
NiceGrowth,7IIP132402O3
AnotherFund,7IIP132402O3
EuroSwaps,URZ1M6CX5Z5Z
NiceGrowth,C2931RA8XMYZ
EuroBonds,HTS37T73P755
QuickCashStrategy,65J8339V7SL1
EuroBonds,01H01EXY3HBL
AnotherFund,01H01EXY3HBL
EuroSwaps,80BM11857IN6
YetAnotherFund,80BM11857IN6
BigEquityReturns,1Y77A7139777
AnotherFund,63H59FJV0DTL
AnotherFund,33124073X672
QuickCashStrategy,2ESR38H9Z2S1
EuroSwaps,1C9BQ8QX9E9S
AnotherFund,1C9BQ8QX9E9S
BigEquityReturns,50N537124039
NiceGrowth,50N537124039
QuickCashStrategy,931T71158657
NiceGrowth,931T71158657
NiceGrowth,IY0D7V0I494M
YetAnotherFund,0V6QCX6528KL
AnotherFund,0V6QCX6528KL
YetAnotherFund,08P1177180WV
BigEquityReturns,08P1177180WV
EuroSwaps,6TKUBF09271H
AnotherFund,6TKUBF09271H
BigEquityReturns,806346UOON0V
BigEquityReturns,V78QSZ625CI6
EuroBonds,8RW5NS1D8D6L
EuroBonds,V7G7H4H931RH
NiceGrowth,V7G7H4H931RH
NiceGrowth,XXBW0ZN6300R
AnotherFund,RS2009116095
NiceGrowth,ZI0Y1B24229Z
QuickCashStrategy,ZI0Y1B24229Z
NiceGrowth,6S88NZ0GU4J2
EuroBonds,T07406719X55
AnotherFund,7I14NBKJ33JA
BigEquityReturns,X89R8327I90J
AnotherFund,X89R8327I90J
AnotherFund,815XNZ12470R
BigEquityReturns,H970MT0804LF
QuickCashStrategy,226S6D89545Q
EuroBonds,226S6D89545Q
EuroBonds,5LQ5XZ8PV8WT
AnotherFund,5LQ5XZ8PV8WT
NiceGrowth,340LH229V9WO
AnotherFund,RI6779651Y7D
QuickCashStrategy,6Y9856146V6C
EuroBonds,6Y9856146V6C
EuroSwaps,9MJ9M7PT3E96
AnotherFund,9MJ9M7PT3E96
NiceGrowth,4DC70R672F36
QuickCashStrategy,4DC70R672F36
EuroSwaps,933OK479UHJ8
QuickCashStrategy,PPEN30441880
EuroBonds,08062212M39U
NiceGrowth,08062212M39U
EuroSwaps,W8476WP0V60A
QuickCashStrategy,1OR72R10V33P
YetAnotherFund,1OR72R10V33P
YetAnotherFund,28J0J4903088
AnotherFund,7H48WP4O8B72
EuroSwaps,7H48WP4O8B72
NiceGrowth,36858L1D056B
NiceGrowth,049T0EZ6K062
EuroSwaps,049T0EZ6K062
QuickCashStrategy,50X7Q226H14A
BigEquityReturns,50X7Q226H14A
AnotherFund,C070U70GX18K
YetAnotherFund,C070U70GX18K
BigEquityReturns,XB4I52Y4R25Y
QuickCashStrategy,XUE49OK51O56
NiceGrowth,XUE49OK51O56
NiceGrowth,D1K0A21272J2
BigEquityReturns,77SC63P9QX9H
QuickCashStrategy,77SC63P9QX9H
EuroSwaps,5HN26G29CN06
QuickCashStrategy,5HN26G29CN06
AnotherFund,722X05924TC4
YetAnotherFund,PJ672JT43103
EuroSwaps,67YE2I1H2D80
NiceGrowth,7V2F2GWPB9UV
BigEquityReturns,86943V9YGS30
QuickCashStrategy,86943V9YGS30
BigEquityReturns,04R00JA9897M
AnotherFund,04R00JA9897M
QuickCashStrategy,Q6O37848ZC98
NiceGrowth,Q6O37848ZC98
YetAnotherFund,B7HC3O83H260
QuickCashStrategy,N12B09571R57
EuroBonds,Q09665708TGB
EuroSwaps,Q09665708TGB
EuroBonds,08GHE1OFP989
NiceGrowth,08GHE1OFP989
AnotherFund,4211568R6F0F
YetAnotherFund,4211568R6F0F
NiceGrowth,9ABVM0Q77JUV
AnotherFund,ET9363713686
AnotherFund,8Z083X25P780
EuroSwaps,8Z083X25P780
BigEquityReturns,M1LAEJ367166
YetAnotherFund,M1LAEJ367166
AnotherFund,G469CR66LWE0
YetAnotherFund,UR018BQ903CS
BigEquityReturns,UR018BQ903CS
AnotherFund,AW933K5062NY
AnotherFund,CC5WICW1ZM56
QuickCashStrategy,CC5WICW1ZM56
AnotherFund,7TBX43V1416R
YetAnotherFund,4PYHABU1R23W
EuroSwaps,4PYHABU1R23W
EuroSwaps,K48O3TD17SG3
EuroBonds,K48O3TD17SG3
AnotherFund,U2L50TP4V20P
YetAnotherFund,U2L50TP4V20P
EuroBonds,XLNAEEKK2873
NiceGrowth,L4Y1LKT2M63N
AnotherFund,VE7603722D9V
EuroBonds,94T4BDQR6435
YetAnotherFund,94T4BDQR6435
QuickCashStrategy,2Y61A895LL05
QuickCashStrategy,O90RK2G21T7I
EuroSwaps,8G52R3K8WB0V
QuickCashStrategy,8G52R3K8WB0V
AnotherFund,Q2M45H850BUY
AnotherFund,39N5162FX9S2
YetAnotherFund,39N5162FX9S2
YetAnotherFund,Z0KD931T797B
QuickCashStrategy,5X5Q5A16S4FI
AnotherFund,5X5Q5A16S4FI
AnotherFund,805P54J2S1JC
QuickCashStrategy,Q506XK8U4920
BigEquityReturns,9ER3S82898NN
BigEquityReturns,C7048U62K669
YetAnotherFund,44M9D68377AX
EuroSwaps,44M9D68377AX
NiceGrowth,43JPX3368U45
AnotherFund,43JPX3368U45
YetAnotherFund,A4D01306LJT0
YetAnotherFund,215HI25ME0QT
QuickCashStrategy,11JH1K69A7S3
EuroBonds,11JH1K69A7S3
NiceGrowth,789T95FN62GF
YetAnotherFund,71T1055Y4L15
BigEquityReturns,1T7B213SEOQ9
YetAnotherFund,1T7B213SEOQ9
YetAnotherFund,PN16GB3GP761
AnotherFund,SQ9W87R4708K
AnotherFund,1YQBGU14150D
EuroSwaps,7S2RK8K817W1
YetAnotherFund,7S2RK8K817W1
EuroSwaps,149YX1E23126
YetAnotherFund,149YX1E23126
QuickCashStrategy,67887ZL01A55
AnotherFund,67887ZL01A55
AnotherFund,F24GM953V198
QuickCashStrategy,CHT413CNAM03
BigEquityReturns,CHT413CNAM03
AnotherFund,7WQ8D9C727OA
BigEquityReturns,9F7Q244I59R1
NiceGrowth,9F7Q244I59R1
BigEquityReturns,597455Q6U476
EuroSwaps,16H6F71200W0
EuroBonds,C7011385B109
BigEquityReturns,C7011385B109
EuroBonds,2515S553J65C
EuroSwaps,9343I2MJ035D
QuickCashStrategy,0225432N5P43
AnotherFund,2C2625OQ49QS
YetAnotherFund,2C2625OQ49QS
QuickCashStrategy,19O467K3JE06
AnotherFund,19O467K3JE06
QuickCashStrategy,7L552X479937
YetAnotherFund,7L552X479937
QuickCashStrategy,AWH2N30D39Q3
YetAnotherFund,AWH2N30D39Q3
BigEquityReturns,5W2I869B3Q5L
EuroBonds,A719Z2235357
EuroSwaps,A719Z2235357
QuickCashStrategy,T86335RQW352
EuroBonds,T86335RQW352
NiceGrowth,U3L6NK05ZX6W
QuickCashStrategy,U3L6NK05ZX6W
AnotherFund,6P176KA318S3
YetAnotherFund,6P176KA318S3
QuickCashStrategy,KB8D588Y528Z
QuickCashStrategy,4002GL11YY2M
BigEquityReturns,898392W9ACBK
AnotherFund,2U4Z1R16CY34
EuroSwaps,6N9859357VF4
BigEquityReturns,6J17F1P4J275
YetAnotherFund,63D74B9CJCM2
NiceGrowth,63D74B9CJCM2
QuickCashStrategy,5C1ZF75FHVC4
QuickCashStrategy,F1L6IK3C6W82
QuickCashStrategy,Y8BPY9N5OL2Q
EuroBonds,716NEJ2UK2NY
NiceGrowth,716NEJ2UK2NY
EuroSwaps,SMO45Y1536QF
BigEquityReturns,535A6BR1BC39
AnotherFund,535A6BR1BC39
YetAnotherFund,0O186H5F12M2
BigEquityReturns,9AC5KLRN2173
EuroSwaps,1371P9DG08I9
EuroBonds,1371P9DG08I9
QuickCashStrategy,EL41N7C35L24
EuroBonds,EL41N7C35L24
NiceGrowth,1784MF62O3VN
NiceGrowth,70397G5I4842
YetAnotherFund,387MD01E8300
EuroBonds,Y134F20OD0WL
BigEquityReturns,IVT8DB1TG3V3
QuickCashStrategy,R0W3G10QJ3T8
BigEquityReturns,1RGBDGM6MU36
EuroBonds,GZY3TX3863XO
YetAnotherFund,GZY3TX3863XO
YetAnotherFund,L5647927Y6FB
AnotherFund,L5647927Y6FB
AnotherFund,4O83V6GH2066
NiceGrowth,4O83V6GH2066
YetAnotherFund,Y02E9O3QO909
QuickCashStrategy,Y02E9O3QO909
EuroSwaps,6W8V4UN7OO15
NiceGrowth,6W8V4UN7OO15
YetAnotherFund,8HCX8UE63L75
EuroBonds,8HCX8UE63L75
NiceGrowth,5QX4LP41511Z
EuroBonds,R80M9480DQIZ
EuroSwaps,O9D8F61VHW03
NiceGrowth,V148R20X971P
BigEquityReturns,8X93W21FYT05
EuroSwaps,8X93W21FYT05
NiceGrowth,C09Z09U90HUC
EuroBonds,C09Z09U90HUC
QuickCashStrategy,ZL470EN22DB9
EuroBonds,ZL470EN22DB9
AnotherFund,0N0D5Y344JR6
NiceGrowth,BC92PMO24P03
QuickCashStrategy,9354XPRD1QGC
YetAnotherFund,9354XPRD1QGC
EuroBonds,786F6P501062
EuroSwaps,96Y8AQ7324M2
EuroBonds,96Y8AQ7324M2
NiceGrowth,634D68S4AH3K
BigEquityReturns,P182M0785396
AnotherFund,P182M0785396
EuroSwaps,82C08108Z54Y
EuroBonds,994724H2B6CJ
QuickCashStrategy,994724H2B6CJ
YetAnotherFund,71B4IZ0905Q6
BigEquityReturns,71B4IZ0905Q6
EuroSwaps,4YT9A225TGK9
AnotherFund,96F5GA62A2W2
EuroSwaps,96F5GA62A2W2
NiceGrowth,999UZL268L41
BigEquityReturns,999UZL268L41
BigEquityReturns,0PL0FAU7854W
EuroBonds,HEVB40K340RL
AnotherFund,444NA87O7EX7
EuroSwaps,4U66539QF95O
BigEquityReturns,4U66539QF95O
BigEquityReturns,RBR7WTWGHB2Q
NiceGrowth,01B488Z60N94
BigEquityReturns,12784U92VPIO
YetAnotherFund,12784U92VPIO
AnotherFund,7V589G2T8TP6
BigEquityReturns,7V589G2T8TP6
EuroBonds,07NXWC0UT197
NiceGrowth,07NXWC0UT197
QuickCashStrategy,W3366XWFZFY4
QuickCashStrategy,L4457PZ60ILY
BigEquityReturns,0R763B23FPTY
YetAnotherFund,0R763B23FPTY
EuroSwaps,18FQ99NP5S4V
BigEquityReturns,18FQ99NP5S4V
QuickCashStrategy,Y63953BB88F3
EuroSwaps,Y63953BB88F3
NiceGrowth,64B66203FE03
BigEquityReturns,64B66203FE03
YetAnotherFund,U6EAWCC7V8HR
AnotherFund,007N88M637II
BigEquityReturns,007N88M637II
YetAnotherFund,6M022P8A77PA
NiceGrowth,22N7R9H406PB
YetAnotherFund,W4YL170CCI1K
EuroBonds,W4YL170CCI1K
EuroBonds,Q62I67B6C591
YetAnotherFund,W4JQ3LBBW26Z
EuroBonds,W4JQ3LBBW26Z
QuickCashStrategy,8U32VGD377BS
EuroSwaps,Y32U88LX987O
AnotherFund,E4T5MCV62P50
QuickCashStrategy,OS421P12TY09
EuroBonds,OS421P12TY09
AnotherFund,EZ3O8581UQ73
QuickCashStrategy,EZ3O8581UQ73
EuroBonds,PM88OLX791GK
NiceGrowth,48B0A7G17808
NiceGrowth,0D09JRD55O05
EuroBonds,0D09JRD55O05
EuroBonds,VH78026F9EE6
AnotherFund,VH78026F9EE6
BigEquityReturns,Z9TH95712G1K
EuroBonds,Z9TH95712G1K
BigEquityReturns,Y0NK79DE73OI
EuroBonds,68XAQ9921563
YetAnotherFund,AG77N8170491
QuickCashStrategy,AG77N8170491
BigEquityReturns,4Z9X57485S61
NiceGrowth,4Z9X57485S61
NiceGrowth,9G943T8151NJ
AnotherFund,S15V49382B7P
EuroSwaps,WBWD8681Q30Z
QuickCashStrategy,WBWD8681Q30Z
BigEquityReturns,R1XDE34O2432
QuickCashStrategy,7P31EVBJ94DR
NiceGrowth,7P31EVBJ94DR
YetAnotherFund,MR0ON34KHJ7M
NiceGrowth,02F3105R3M5A
BigEquityReturns,95184SO17974
AnotherFund,P0O964UIT428
EuroSwaps,OKR817V7720P
BigEquityReturns,OKR817V7720P
NiceGrowth,67315VK865QI
AnotherFund,87FWSH703306
BigEquityReturns,87FWSH703306
BigEquityReturns,10F51GBLKF64
NiceGrowth,GD232U4S9S8J
YetAnotherFund,CEGFN9GR8F4N
EuroBonds,EE1107H80H55
NiceGrowth,2W57950P7752
YetAnotherFund,QE41GS4UT1DO
EuroSwaps,QE41GS4UT1DO
YetAnotherFund,7R92T01PV1VT
QuickCashStrategy,007I4P8Q5B80
YetAnotherFund,007I4P8Q5B80
QuickCashStrategy,950H59061IX9
AnotherFund,950H59061IX9
YetAnotherFund,SGFDRQ1C887C
AnotherFund,27808343358N
QuickCashStrategy,27808343358N
YetAnotherFund,5IO059247XUV
NiceGrowth,ZB669285I7O6
QuickCashStrategy,ZB669285I7O6
EuroBonds,575827503S00
BigEquityReturns,0104G4V6319Y
AnotherFund,0104G4V6319Y
AnotherFund,FVJ2S9Q8F14V
YetAnotherFund,1B38EXP75I46
AnotherFund,O55FEK32B13V
EuroSwaps,O55FEK32B13V
BigEquityReturns,5E99K3261CXS
NiceGrowth,26D65514A8EQ
YetAnotherFund,26D65514A8EQ
AnotherFund,599F72VJY9RL
AnotherFund,LI9R24I385R7
YetAnotherFund,NMN68276C058
EuroBonds,NMN68276C058
QuickCashStrategy,Y7034199EX4W
YetAnotherFund,5FO3F8UZ8799
EuroSwaps,7J670M65WR48
QuickCashStrategy,7J670M65WR48
NiceGrowth,0E8C249662FZ
EuroBonds,0E8C249662FZ
EuroBonds,3I2283QH952B
NiceGrowth,3I2283QH952B
NiceGrowth,110FR0S7E3YD
EuroSwaps,FXAQ55K406JE
QuickCashStrategy,FXAQ55K406JE
AnotherFund,MB7IRHIJ8NO8
NiceGrowth,JXS0ENCH4HN6
AnotherFund,JXS0ENCH4HN6
AnotherFund,04R69005EEUB
EuroSwaps,73300LTCY474
AnotherFund,73300LTCY474
BigEquityReturns,RN8Y73LJD663
YetAnotherFund,RN8Y73LJD663
EuroSwaps,1641LJ71K8X0
NiceGrowth,3TEE6FP319B4
QuickCashStrategy,3TEE6FP319B4
AnotherFund,28V7N272J316
YetAnotherFund,28V7N272J316
EuroSwaps,7737JW0H04TA
BigEquityReturns,7737JW0H04TA
EuroSwaps,KGI9326Y36K9
NiceGrowth,078LX680A8VA
EuroSwaps,078LX680A8VA
YetAnotherFund,299UH343438G
EuroSwaps,5W2T4K9925OO
AnotherFund,5W2T4K9925OO
YetAnotherFund,222496FA74K9
QuickCashStrategy,222496FA74K9
EuroSwaps,6T210A43P74H
NiceGrowth,6T210A43P74H
BigEquityReturns,275213FZ2K25
YetAnotherFund,275213FZ2K25
BigEquityReturns,Q1P254BV68W0
QuickCashStrategy,Q1P254BV68W0
EuroSwaps,3TB791XIFYC5
QuickCashStrategy,3TB791XIFYC5
AnotherFund,ANH985BVH7S7
BigEquityReturns,37CF35W8Z0UT
AnotherFund,SP428H01B9N9
EuroBonds,SP428H01B9N9
YetAnotherFund,B9G300610687
EuroBonds,B9G300610687
BigEquityReturns,UK7724433X78
EuroSwaps,4398X120M80J
NiceGrowth,4398X120M80J
EuroBonds,3PMI76ZM3994
EuroBonds,R4OF1477662H
EuroSwaps,959Z82582L27
EuroBonds,L26I2537029G
EuroBonds,ARO4Y769I14A
EuroSwaps,ARO4Y769I14A
EuroBonds,3MJ9V798I206
YetAnotherFund,YLA28OT5I04D
QuickCashStrategy,NI55240H9134
NiceGrowth,NI55240H9134
NiceGrowth,3C8Y2H4W604U
AnotherFund,KI8OT1V43J54
YetAnotherFund,KI8OT1V43J54
AnotherFund,508V109A3RE8
NiceGrowth,6F96UW5L3CWX
AnotherFund,67256VQ388LU
EuroSwaps,67256VQ388LU
EuroSwaps,260Q4R6106UM
QuickCashStrategy,260Q4R6106UM
EuroBonds,IH6924D74897
YetAnotherFund,IH6924D74897
EuroSwaps,748D11Y0249P
QuickCashStrategy,P74Z9765H383
NiceGrowth,7F0KQP26O2M9
AnotherFund,7F0KQP26O2M9
EuroSwaps,6000U7374Z97
EuroBonds,6000U7374Z97
BigEquityReturns,46E8ND1N05F4
EuroBonds,EYXS773Z621I
AnotherFund,EYXS773Z621I
NiceGrowth,HZTUDYKJBB76
EuroSwaps,HZTUDYKJBB76
EuroSwaps,426CI59P2845
AnotherFund,426CI59P2845
YetAnotherFund,MO9HY4U6869R
EuroBonds,MO9HY4U6869R
QuickCashStrategy,B503N11224H5
NiceGrowth,B503N11224H5
EuroSwaps,5L5T8736RO96
EuroBonds,8P8NNF565Y77
NiceGrowth,8P8NNF565Y77
NiceGrowth,7411GVZZI8V4
BigEquityReturns,7411GVZZI8V4
YetAnotherFund,740MD08AGK14
EuroSwaps,U2642628A9X4
QuickCashStrategy,U2642628A9X4
EuroSwaps,RG591Z42X3W1
QuickCashStrategy,RG591Z42X3W1
EuroBonds,8C442WU6YXOX
QuickCashStrategy,72I119P42052
QuickCashStrategy,4T36SN9933VW
EuroBonds,F4J39VZ226HB
YetAnotherFund,F4J39VZ226HB
BigEquityReturns,6X822QKQZ537
AnotherFund,6X822QKQZ537
EuroBonds,8P70393R44A5
YetAnotherFund,8P70393R44A5
EuroSwaps,P0L6975S02WL
BigEquityReturns,P0L6975S02WL
NiceGrowth,5M0I1236N1X1
EuroSwaps,5M0I1236N1X1
QuickCashStrategy,09K4S875FTA3
EuroBonds,09K4S875FTA3
AnotherFund,1EG2QQJ39117
EuroSwaps,1EG2QQJ39117
QuickCashStrategy,15J0M3F19EEC
NiceGrowth,15J0M3F19EEC
EuroSwaps,0PW015U48H7C
BigEquityReturns,0PW015U48H7C
EuroBonds,5L64W05QT196
NiceGrowth,4431313WBU60
QuickCashStrategy,8810YPTNQ81O
EuroBonds,8810YPTNQ81O
EuroBonds,L23O258PQYM5
AnotherFund,L23O258PQYM5
BigEquityReturns,GW3X360J31N5
EuroSwaps,7934C0637GY3
NiceGrowth,7934C0637GY3
AnotherFund,9Q6Q8ME988UW
YetAnotherFund,J6421F97GW7F
BigEquityReturns,J6421F97GW7F
AnotherFund,Y873692LGO9B
NiceGrowth,Y873692LGO9B
EuroSwaps,94187E027172
AnotherFund,2CECH1VZ2Z3F
EuroBonds,36C1R2D9Y7P3
BigEquityReturns,5T65168A6471
QuickCashStrategy,5T65168A6471
BigEquityReturns,L2462304386S
EuroSwaps,L2462304386S
EuroSwaps,02SZ5593878Z
EuroBonds,6KE60U7645V3
EuroBonds,T21750EO19QK
QuickCashStrategy,T21750EO19QK
AnotherFund,A63OHFVI5175
NiceGrowth,S8E8D9YCR0E4
EuroBonds,S8E8D9YCR0E4
YetAnotherFund,Q1F52J47G4Q3
QuickCashStrategy,Q1F52J47G4Q3
NiceGrowth,1245PE261Y8C
QuickCashStrategy,1245PE261Y8C
EuroSwaps,561231804V2R
BigEquityReturns,IS6QLPU83591
QuickCashStrategy,IS6QLPU83591
EuroBonds,48U6OW7N1260
BigEquityReturns,142OC3S8H93Y
EuroSwaps,O7Z42S00189I
YetAnotherFund,O7Z42S00189I
NiceGrowth,068O895L4835
AnotherFund,4PU96344J82I
AnotherFund,8528540AJJBO
QuickCashStrategy,EQJGO0U1NR3W
BigEquityReturns,9OUU429S03W8
EuroBonds,4K7NHQP174QI
EuroSwaps,U7ALUG584630
EuroSwaps,4J3PC34IHA78
YetAnotherFund,29570N19T15V
NiceGrowth,R711A48U27Z4
QuickCashStrategy,ED3J626OJGZA
EuroBonds,H73Y6AD9961A
AnotherFund,547TV6919D30
QuickCashStrategy,547TV6919D30
QuickCashStrategy,1N47T0L27842
AnotherFund,1N47T0L27842
YetAnotherFund,3W250742V068
BigEquityReturns,O1KD2K382S13
YetAnotherFund,5Q660CK4BHTA
BigEquityReturns,5Q660CK4BHTA
BigEquityReturns,7E3372T85FZE
NiceGrowth,7E3372T85FZE
NiceGrowth,78Z6X8W1302U
EuroSwaps,W995768X50LQ
BigEquityReturns,W995768X50LQ
YetAnotherFund,P2S7B535S918
BigEquityReturns,P2S7B535S918
YetAnotherFund,641429E75890
EuroBonds,641429E75890
EuroBonds,5792129Y706S
NiceGrowth,5792129Y706S
EuroSwaps,47O53P506234
QuickCashStrategy,47O53P506234
AnotherFund,0MV6W696O7H1
NiceGrowth,0MV6W696O7H1
QuickCashStrategy,726H6S270FS9
NiceGrowth,65V02122SX14
YetAnotherFund,S6913D06VF72
QuickCashStrategy,L72MQ540H862
EuroBonds,L72MQ540H862
AnotherFund,L1U10O82L430
BigEquityReturns,2BUNPS9S53JE
QuickCashStrategy,2BUNPS9S53JE
EuroSwaps,A336D0M402X0
EuroBonds,E3H18RBB3445
AnotherFund,U94MH5TF0L5E
NiceGrowth,F326Z4M27C5Z
YetAnotherFund,F326Z4M27C5Z
QuickCashStrategy,XCA20PV70Q08
NiceGrowth,XCA20PV70Q08
EuroSwaps,38052737AP9F
NiceGrowth,UKPMH3E365D1
QuickCashStrategy,Q5K07B9KP91O
AnotherFund,Q5K07B9KP91O
BigEquityReturns,ZI8RJ95B485S
NiceGrowth,ZI8RJ95B485S
AnotherFund,6651H8Q4M2D8
AnotherFund,V33181762J42
EuroSwaps,V33181762J42
BigEquityReturns,3R7FE183262P
EuroSwaps,0LMMD6YG4424
EuroSwaps,O0100UC9Z42E
EuroBonds,0472C0938484
EuroSwaps,4QMMCVG18587
EuroBonds,4QMMCVG18587
YetAnotherFund,29485139676I
NiceGrowth,S904MN9DZ7Y7
EuroBonds,F92227ITO353
NiceGrowth,F92227ITO353
BigEquityReturns,24591AP07338
QuickCashStrategy,24591AP07338
NiceGrowth,18183XG69WL0
EuroSwaps,18183XG69WL0
AnotherFund,5Y27V5PF0E69
EuroSwaps,45PK4IK73ZP9
AnotherFund,05TN5NP990U3
QuickCashStrategy,05TN5NP990U3
EuroBonds,2VY3TA488206
AnotherFund,NLCO68E8GOD3
BigEquityReturns,8589PK8S77BW
YetAnotherFund,8589PK8S77BW
AnotherFund,E6751O15JF11
BigEquityReturns,E6751O15JF11
NiceGrowth,7F7MRG8CBP4Y
YetAnotherFund,8D1P13AY7CIJ
AnotherFund,KFY8223G01IJ
AnotherFund,2Y37E40S174E
YetAnotherFund,3WIJ246F92S1
EuroSwaps,2K9FGUELP6E5
NiceGrowth,2K9FGUELP6E5
AnotherFund,9E3VGM3U5709
NiceGrowth,9E3VGM3U5709
NiceGrowth,5W6O47I1RCKN
AnotherFund,XO6L8GIY2221
AnotherFund,74346341Y498
AnotherFund,3GH1YX283B19
YetAnotherFund,3GH1YX283B19
YetAnotherFund,53G41AZ95621
QuickCashStrategy,882227D02861
EuroSwaps,882227D02861
EuroSwaps,M458E33184Y4
BigEquityReturns,M458E33184Y4
NiceGrowth,W58SOQO3J0AY
EuroSwaps,W58SOQO3J0AY
EuroSwaps,PBBS2LPA9H2M
QuickCashStrategy,QC5N5A571669
EuroSwaps,4LUP6993C1K4
EuroBonds,4LUP6993C1K4
YetAnotherFund,1RBB12791042
BigEquityReturns,1RBB12791042
EuroSwaps,98W0435OH78M
AnotherFund,E352PPF115S8
BigEquityReturns,T57V9Q8FDW2L
YetAnotherFund,T57V9Q8FDW2L
EuroBonds,8021I778E2P3
BigEquityReturns,PLEN6323O249
YetAnotherFund,PLEN6323O249
BigEquityReturns,1317351BJ747
EuroSwaps,1317351BJ747
QuickCashStrategy,96M31X0CM8QO
AnotherFund,96M31X0CM8QO
AnotherFund,5K3J2C10S990
NiceGrowth,5K3J2C10S990
BigEquityReturns,O6Q55P898HO9
QuickCashStrategy,O6Q55P898HO9
QuickCashStrategy,935QW61L4812
EuroSwaps,IH6R5ZPYL08T
YetAnotherFund,IH6R5ZPYL08T
NiceGrowth,7TL04S1JCR0H
EuroBonds,V4Q576V9NO28
AnotherFund,V4Q576V9NO28
EuroSwaps,1388839SI632
EuroBonds,727O785R0B88
EuroSwaps,TI43O53WWXD3
BigEquityReturns,YKT8T8J6V1I5
AnotherFund,YKT8T8J6V1I5
EuroSwaps,H42F88007OP5
QuickCashStrategy,KVC431114380
YetAnotherFund,KVC431114380
EuroBonds,017X959W96W0
QuickCashStrategy,017X959W96W0
QuickCashStrategy,5552CCS35J4X
YetAnotherFund,5552CCS35J4X
AnotherFund,3584HU3BL87G
YetAnotherFund,3584HU3BL87G
AnotherFund,18Z6GUW5Y21X
YetAnotherFund,6DS4346593GM
EuroBonds,02OG48016MW6
EuroSwaps,02OG48016MW6
EuroBonds,09637E6AE9T4
QuickCashStrategy,09637E6AE9T4
AnotherFund,594RZI70497J
AnotherFund,ID9033319L02
BigEquityReturns,BX7485ZV968Y
QuickCashStrategy,BX7485ZV968Y
AnotherFund,1W11IE249PZL
QuickCashStrategy,1W11IE249PZL
NiceGrowth,D1CBMO7431V2
AnotherFund,D1CBMO7431V2
AnotherFund,3F037QS44Q4D
